filekey,shot_speed,carry_m,max_height_m,landing_x_m,landing_y_m
wd0,35.0,62.475109869261985,3.305170031609239,62.475109869261985,0.00030860142303015196
wd0,40.55555555555556,88.61844362458577,5.08063715078349,88.61844362458577,0.0019221553858793919
wd0,46.111111111111114,117.84336559876738,7.494321511605046,117.84336559876738,0.004825254392730295
wd0,51.666666666666664,148.01563443276325,10.592072286952728,148.01563443276325,0.00878069706914781
wd0,57.22222222222222,177.51051780780642,14.33219384916867,177.51051780780642,0.01364124759524908
wd0,62.77777777777778,205.07389718054603,18.605620042234623,205.07389718054603,0.019418913033555904
wd0,68.33333333333333,230.62229835359454,23.278621653856757,230.62229835359454,0.02611256365930237
wd0,76.44384,263.748856508132,30.573626062536988,263.748856508132,0.03689513281925423
wd0,79.44444444444444,274.82023998906595,33.36708533320301,274.82023998906595,0.04096908890316936
wd0,85.0,294.2569278093064,38.63075401526683,294.2569278093064,0.04842576870222388
wd45,35.0,65.43416911579219,3.582358166879245,65.43416911579219,0.47600457660353196
wd45,40.55555555555556,91.85958372500667,5.600862504675322,91.85958372500667,0.9456131871158358
wd45,46.111111111111114,120.3337755587307,8.337202545359322,120.3337755587307,1.6810808195530238
wd45,51.666666666666664,148.44799133940336,11.777978011718465,148.44799133940336,2.711583996275585
wd45,57.22222222222222,174.77448726469484,15.808772279598967,174.77448726469484,4.049531189895671
wd45,62.77777777777778,199.26506308323343,20.2760328356436,199.26506308323343,5.714912568422546
wd45,68.33333333333333,221.98069607891918,25.04237920526323,221.98069607891918,7.685616450199023
wd45,76.44384,251.8235463382953,32.344972829422446,251.8235463382953,10.923501631400566
wd45,79.44444444444444,262.1727233875462,35.12170356786671,262.1727233875462,12.194812573391271
wd45,85.0,280.29578592779546,40.35248363184561,280.29578592779546,14.572149300241128
wd90,35.0,67.15966243813335,3.777126367536013,67.15966243813335,0.844992457384274
wd90,40.55555555555556,93.47733041246934,5.9483709394470905,93.47733041246934,1.6065118769131062
wd90,46.111111111111114,121.3159761194241,8.885287087090289,121.3159761194241,2.7565030383931504
wd90,51.666666666666664,148.02405519612373,12.557956185094296,148.02405519612373,4.367088891540374
wd90,57.22222222222222,172.69272547135907,16.84225304104293,172.69272547135907,6.557602860021529
wd90,62.77777777777778,194.7828118087136,21.585614064393642,194.7828118087136,9.35889181586927
wd90,68.33333333333333,214.64892672996064,26.652312938060298,214.64892672996064,12.69807957378352
wd90,76.44384,240.08927348650514,34.41338740007981,240.08927348650514,17.99951340313052
wd90,79.44444444444444,248.41204119975808,37.35343492858391,248.41204119975808,19.92271400333459
wd90,85.0,262.8496970608716,42.86124560671938,262.8496970608716,23.417811504853216
