shot_speed,direction,carry_m,max_height_m,landing_x_m,landing_y_m
35.0,0.0,64.20311899350523,3.6560575180277506,64.20311899350523,-1.9169880441807376e-08
35.0,20.0,63.549292727361994,3.536895994469595,63.549292727361994,-0.2711697976529308
35.0,40.0,63.83921591345809,3.4080345213324605,63.83921591345809,-0.7623783145161198
35.0,60.0,64.96397922523671,3.5449096492694405,64.96397922523671,-1.1096965553894762
35.0,80.0,66.68174946923254,3.7449880914614946,66.68174946923254,-0.8560958415300828
35.0,100.0,67.76467196774276,3.8034423438196057,67.76467196774276,-0.97351138827357
35.0,120.0,69.1895750653737,4.071328181955189,69.1895750653737,-1.6267467174194223
35.0,140.0,70.1281160289788,4.250174361941649,70.1281160289788,-1.3599243547924473
35.0,160.0,70.37969054834875,4.09163431957506,70.37969054834875,-0.5587510915802198
35.0,180.0,70.05758639783338,3.9232719980983872,70.05758639783338,-5.015688556284078e-09
40.55555555555556,0.0,89.2892837165644,5.507579232672492,89.2892837165644,-4.924805502968453e-08
40.55555555555556,20.0,89.18323086254408,5.3650922977272195,89.18323086254408,-0.6039275323665372
40.55555555555556,40.0,89.84982199642042,5.267329451816091,89.84982199642042,-1.51043124793636
40.55555555555556,60.0,91.47884942781316,5.510250792276913,91.47884942781316,-2.235241787849475
40.55555555555556,80.0,93.09512698990356,5.8627039594999255,93.09512698990356,-2.083813891555069
40.55555555555556,100.0,94.28121204693973,6.055246513924458,94.28121204693973,-2.3664875969992387
40.55555555555556,120.0,95.25585873158913,6.492088875604347,95.25585873158913,-3.21447140359043
40.55555555555556,140.0,95.8606012131508,6.805332709704132,95.8606012131508,-2.650900826014073
40.55555555555556,160.0,96.31561073173715,6.714857297657796,96.31561073173715,-1.226586574120315
40.55555555555556,180.0,96.63078409138569,6.536456575007129,96.63078409138569,-2.730485653807026e-09
46.111111111111114,0.0,117.13375737195175,7.940785198235785,117.13375737195175,-9.681393677718279e-08
46.111111111111114,20.0,117.59479749522662,7.799013925631432,117.59479749522662,-1.137083265511336
46.111111111111114,40.0,118.96469353047469,7.792027112127746,118.96469353047469,-2.6683585719183043
46.111111111111114,60.0,119.93188124757239,8.175385226587407,119.93188124757239,-3.913272979682496
46.111111111111114,80.0,121.0026239440466,8.717832038566721,121.0026239440466,-3.9889488038666876
46.111111111111114,100.0,121.77538179893116,9.108420259922307,121.77538179893116,-4.502613171356138
46.111111111111114,120.0,121.37387805406175,9.735508332170118,121.37387805406175,-5.443367433503376
46.111111111111114,140.0,120.83774484676803,10.206173650771074,120.83774484676803,-4.404680070030594
46.111111111111114,160.0,121.09322729543482,10.251062300516164,121.09322729543482,-2.1742543524800126
46.111111111111114,180.0,121.68603984064445,10.10368710899142,121.68603984064445,8.39480007918327e-09
51.666666666666664,0.0,146.32366189373417,11.006639520190232,146.32366189373417,-1.5367487381575726e-07
51.666666666666664,20.0,147.2519755862402,10.900871857197366,147.2519755862402,-1.8682749185146648
51.666666666666664,40.0,148.27357817807234,11.010596823883816,148.27357817807234,-4.1893277959343465
51.666666666666664,60.0,148.55849263050956,11.553789861678357,148.55849263050956,-6.101186305118141
51.666666666666664,80.0,148.23722959404557,12.292890696201777,148.23722959404557,-6.494436649452712
51.666666666666664,100.0,147.72411996423548,12.908220843845495,147.72411996423548,-7.227347053077057
51.666666666666664,120.0,145.5119882752735,13.714172140319942,145.5119882752735,-8.111393980480536
51.666666666666664,140.0,143.43908549478266,14.340781365879938,143.43908549478266,-6.471569009905707
51.666666666666664,160.0,143.12125727172977,14.525416047208752,143.12125727172977,-3.2859052946895133
51.666666666666664,180.0,143.62207023007355,14.44240132154739,143.62207023007355,2.1662846089309825e-08
57.22222222222222,0.0,175.03912123258996,14.671423053371363,175.03912123258996,-2.0600811404172798e-07
57.22222222222222,20.0,176.08688435157282,14.61448576044792,176.08688435157282,-2.7677384847554123
57.22222222222222,40.0,176.85171581116654,14.85714729576958,176.85171581116654,-6.036257869327827
57.22222222222222,60.0,175.72475151099127,15.55377181843762,175.72475151099127,-8.69210838969839
57.22222222222222,80.0,173.5743284630963,16.476799732987075,173.5743284630963,-9.422988601586304
57.22222222222222,100.0,171.3532020854032,17.30474611613152,171.3532020854032,-10.343825122661599
57.22222222222222,120.0,167.2427221868776,18.26696591597139,167.2427221868776,-11.099285550514196
57.22222222222222,140.0,163.5890202018004,19.026503331652,163.5890202018004,-8.755609900278529
57.22222222222222,160.0,162.20516126619827,19.342716097874547,162.20516126619827,-4.501137826101697
57.22222222222222,180.0,162.57560255288794,19.322557530075972,162.57560255288794,3.005730046883504e-08
62.77777777777778,0.0,202.63678732085643,18.83954356838197,202.63678732085643,-2.4688657290575426e-07
62.77777777777778,20.0,203.35656932608924,18.851367996576627,203.35656932608924,-3.782862077336702
62.77777777777778,40.0,203.20783422483169,19.215568138633223,203.20783422483169,-8.054920112210027
62.77777777777778,60.0,200.88313994522403,20.045973287943312,200.88313994522403,-11.520717463530602
62.77777777777778,80.0,196.64879762267233,21.1190353847669,196.64879762267233,-12.651761370552741
62.77777777777778,100.0,192.2136341797008,22.12952747460482,192.2136341797008,-13.67142008532283
62.77777777777778,120.0,186.290967120314,23.21389992564656,186.290967120314,-14.17009990698206
62.77777777777778,140.0,180.92751277754644,24.080304934736898,180.92751277754644,-11.069360668089857
62.77777777777778,160.0,178.5201661410918,24.50052285005055,178.5201661410918,-5.72993020302728
62.77777777777778,180.0,178.46987201960832,24.548268805316802,178.46987201960832,3.069033069157372e-08
68.33333333333333,0.0,227.98020680595764,23.41518858722421,227.98020680595764,-2.702174330577112e-07
68.33333333333333,20.0,228.3878629216035,23.482085928137003,228.3878629216035,-4.868473165503218
68.33333333333333,40.0,227.54987345467686,23.95042887405619,227.54987345467686,-10.199132202179257
68.33333333333333,60.0,223.50546044936937,24.889609022076094,223.50546044936937,-14.44048393619154
68.33333333333333,80.0,217.2612906383406,26.082616204204072,217.2612906383406,-15.968336132670885
68.33333333333333,100.0,210.91280953121657,27.236208600408837,210.91280953121657,-17.093473300922618
68.33333333333333,120.0,202.85992375581307,28.41773683512897,202.85992375581307,-17.222410605852147
68.33333333333333,140.0,196.07358136982782,29.367497860855707,196.07358136982782,-13.382707663799295
68.33333333333333,160.0,192.66156426527203,29.86837035271077,192.66156426527203,-6.965903637982834
68.33333333333333,180.0,192.2498748197068,29.962592214060507,192.2498748197068,2.4916671277247428e-08
76.44384,0.0,261.37224744827233,30.602024615862124,261.37224744827233,-2.7468587432700125e-07
76.44384,20.0,261.2302160057345,30.73623974809553,261.2302160057345,-6.506590556728611
76.44384,40.0,259.0271051064957,31.309168814506908,259.0271051064957,-13.377571402812563
76.44384,60.0,252.4934018025598,32.36451515127807,252.4934018025598,-18.749728811553638
76.44384,80.0,243.58499869532372,33.69157981636307,243.58499869532372,-20.8031621528622
76.44384,100.0,234.4316012830916,34.99405282407722,234.4316012830916,-22.000137025792323
76.44384,120.0,224.026001740176,36.28717035938494,224.026001740176,-21.710599159540322
76.44384,140.0,215.14867070166758,37.326983261292334,215.14867070166758,-16.71181131580009
76.44384,160.0,210.23757362941384,37.90201620058712,210.23757362941384,-8.72148002148488
76.44384,180.0,209.2587417803436,38.04518995001474,209.2587417803436,4.666308804156979e-09
79.44444444444444,0.0,272.58464632510396,33.37344834304058,272.58464632510396,-2.6763367883403964e-07
79.44444444444444,20.0,272.5769722754968,33.52008203991372,272.5769722754968,-7.138229133866972
79.44444444444444,40.0,269.57884819991415,34.122181502654485,269.57884819991415,-14.546241123980366
79.44444444444444,60.0,262.3499890087478,35.212233445895286,262.3499890087478,-20.343267527470232
79.44444444444444,80.0,252.5941495342857,36.57810740169032,252.5941495342857,-22.626228969241566
79.44444444444444,100.0,242.3086393006896,37.92231359798725,242.3086393006896,-23.81058854188515
79.44444444444444,120.0,230.90673283428066,39.24985678087024,230.90673283428066,-23.295383945578706
79.44444444444444,140.0,221.37181822660227,40.31790583647838,221.37181822660227,-17.90277983259928
79.44444444444444,160.0,215.9732900398299,40.913079325744526,215.9732900398299,-9.364526168146256
79.44444444444444,180.0,214.8470038228341,41.06312368000319,214.8470038228341,-6.006442522501242e-09
85.0,0.0,292.3889334840357,38.61517563436713,292.3889334840357,-2.4638404709256183e-07
85.0,20.0,291.8413659474869,38.783558271776194,291.8413659474869,-8.25754389217363
85.0,40.0,287.75555597612083,39.4198757917423,287.75555597612083,-16.680579379987876
85.0,60.0,279.3033448761894,40.56516660663192,279.3033448761894,-23.247921555919646
85.0,80.0,267.8411044522343,41.99390949255032,267.8411044522343,-25.93627607537948
85.0,100.0,255.73898387564336,43.40300682448297,255.73898387564336,-27.120563016172987
85.0,120.0,242.92096434695944,44.78971070327665,242.92096434695944,-26.227276796506104
85.0,140.0,232.045135521206,45.90562692920183,232.045135521206,-20.06914949790172
85.0,160.0,225.83413658002218,46.523371182508434,225.83413658002218,-10.51882353991887
85.0,180.0,224.21971482656875,46.68541269993786,224.21971482656875,-3.072764198252677e-08
