shot_angle,direction,carry_m,max_height_m,landing_x_m,landing_y_m
5.0,0,236.20709374762941,17.409295226390473,236.20709374762941,-3.3383367731680564e-07
5.0,270,225.41309402135496,20.610694167817712,225.41309402135496,15.745671062450157
5.0,315,235.1947965821845,18.158251490809256,235.1947965821845,10.564048792183229
7.222222222222222,0,248.40331088766214,22.741578601985108,248.40331088766214,-3.1709774516415967e-07
7.222222222222222,270,232.52851854868845,26.220377930173754,232.52851854868845,18.28921128833704
7.222222222222222,315,246.216888338949,23.582830073562484,246.216888338949,12.444726818186993
10.4,0,261.37224744827233,30.602024615862124,261.37224744827233,-2.7468587432700125e-07
10.4,270,239.09916668409056,34.34478148170308,239.09916668409056,21.51507711287304
10.4,315,257.45125800362024,31.54222017925705,257.45125800362024,14.836713915769778
11.666666666666668,0,265.3560936400599,33.784101736821384,265.3560936400599,-2.5397610914275806e-07
11.666666666666668,270,241.03304007012625,37.59680083746273,241.03304007012625,22.743789002952735
11.666666666666668,315,260.9023960039421,34.755465228861105,260.9023960039421,15.717899729385863
13.88888888888889,0,270.85914493528264,39.409086785531265,270.85914493528264,-2.1351907201574308e-07
13.88888888888889,270,242.88652857271205,43.29743570902899,242.88652857271205,24.59240175525732
13.88888888888889,315,265.6385484056681,40.416750767877126,265.6385484056681,17.168758222470217
16.11111111111111,0,274.8347843176651,45.04016854205994,274.8347843176651,-1.7337110130421548e-07
16.11111111111111,270,243.4635098263953,48.96811746731776,243.4635098263953,26.35127835979568
16.11111111111111,315,268.8374311423945,46.07953945865055,268.8374311423945,18.50481334463541
18.333333333333336,0,277.13032497249634,50.65862957262912,277.13032497249634,-1.3277290126895322e-07
18.333333333333336,270,243.00993513210554,54.5854804259821,243.00993513210554,27.898776379977516
18.333333333333336,315,270.55511540904115,51.71345636924409,270.55511540904115,19.72143212794532
20.555555555555557,0,278.27249849290433,56.22388161355088,278.27249849290433,-9.59525450849164e-08
20.555555555555557,270,241.5653403649473,60.12582858722489,241.5653403649473,29.40575031532032
20.555555555555557,315,271.08461100919527,57.29089817153379,271.08461100919527,20.84941249411618
22.77777777777778,0,278.0618333059225,61.718387376530444,278.0618333059225,-6.106904264677651e-08
22.77777777777778,270,239.14756997883353,65.56953303923609,239.14756997883353,30.687220545297308
22.77777777777778,315,270.2079299353726,62.78629686768832,270.2079299353726,21.850494979572673
25.0,0,276.369137188117,67.11190247034145,276.369137188117,-3.022369081904294e-08
25.0,270,235.59136958919566,70.89625248189444,235.59136958919566,31.77834619195646
25.0,315,268.2006363900313,68.17612194373451,268.2006363900313,22.758497280077066
