shot_spin,direction,carry_m,max_height_m,landing_x_m,landing_y_m
2000.0,0,253.7394003155988,27.226708247615267,253.7394003155988,-2.773263763924868e-07
2000.0,270,234.59744849622996,30.284438390054255,234.59744849622996,19.189087788648166
2000.0,315,250.65330853426372,27.973083194370954,250.65330853426372,13.318221290581747
2545.0,0,261.37224744827233,30.602024615862124,261.37224744827233,-2.7468587432700125e-07
2545.0,270,239.09916668409056,34.34478148170308,239.09916668409056,21.51507711287304
2545.0,315,257.45125800362024,31.54222017925705,257.45125800362024,14.836713915769778
3777.777777777778,0,269.8161594937634,36.95859392264803,269.8161594937634,-2.590189172211646e-07
3777.777777777778,270,242.03837256771018,41.969140738945796,242.03837256771018,25.64197223549202
3777.777777777778,315,264.681671167455,38.26924173389679,264.681671167455,17.535104526519646
4666.666666666667,0,271.2594709577399,40.63305438105573,271.2594709577399,-2.460332166709793e-07
4666.666666666667,270,240.13719034899736,46.34538357262391,240.13719034899736,27.802247759149907
4666.666666666667,315,265.517728508187,42.15473724146825,265.517728508187,19.001570791829508
5555.555555555556,0,270.60601091286134,43.68928484915587,270.60601091286134,-2.3420947065613071e-07
5555.555555555556,270,236.65387868418765,49.958221467116054,236.65387868418765,29.543012576033096
5555.555555555556,315,263.9525316219414,45.381199161116164,263.9525316219414,20.143062138171416
6444.444444444444,0,268.56820519285156,46.2293796022702,268.56820519285156,-2.240314981115031e-07
6444.444444444444,270,231.9845238233297,52.93675710299985,231.9845238233297,30.893940536825642
6444.444444444444,315,261.1673691625269,48.05723062432485,261.1673691625269,21.084835176824527
7333.333333333334,0,265.1454990459936,48.346529901509456,265.1454990459936,-2.1376214059132086e-07
7333.333333333334,270,226.98441371173016,55.38880449788894,226.98441371173016,31.961321400659877
7333.333333333334,315,257.7388558111836,50.272969053833144,257.7388558111836,21.891272232873646
8222.222222222223,0,261.6325351705111,50.09253223328215,261.6325351705111,-2.0683410771697464e-07
8222.222222222223,270,221.70027076109767,57.400096182689836,221.70027076109767,32.91241720562646
8222.222222222223,315,253.4819175866997,52.10307573807441,253.4819175866997,22.51936540964381
9111.111111111111,0,257.4360478348897,51.53381037567477,257.4360478348897,-2.0134093273280721e-07
9111.111111111111,270,216.13975489365785,59.04407434037343,216.13975489365785,33.65347048887975
9111.111111111111,315,249.122804249944,53.60904613197276,249.122804249944,23.075779423581196
10000.0,0,253.3161521947898,52.71780211898601,253.3161521947898,-1.9710048624030118e-07
10000.0,270,210.84108196811263,60.37988278463137,210.84108196811263,34.34208993756224
10000.0,315,244.43183657703673,54.84200423202127,244.43183657703673,23.519511840047443
