filekey,shot_angle,carry_m,max_height_m,landing_x_m,landing_y_m
wd0,5.0,237.9058629558233,17.306975406492885,237.9058629558233,0.014925214026672273
wd0,7.222222222222222,250.35400548360215,22.673166586480594,250.35400548360215,0.024041063911770126
wd0,10.4,263.748856508132,30.573626062536988,263.748856508132,0.03689513281925423
wd0,11.666666666666668,267.85108433903304,33.767926120984455,267.85108433903304,0.04175492592208039
wd0,13.88888888888889,273.71833798605536,39.40390428787527,273.71833798605536,0.049646850808109114
wd0,16.11111111111111,277.99934693997955,45.05284375220499,277.99934693997955,0.05644048139074597
wd0,18.333333333333336,280.7135215241599,50.68503021522753,280.7135215241599,0.06194069862099139
wd0,20.555555555555557,282.1491517120005,56.272539938938394,282.1491517120005,0.06624824538882802
wd0,22.77777777777778,282.0628855248099,61.788415871617545,282.0628855248099,0.06943507223530887
wd0,25.0,281.0074371975282,67.20694134904078,281.0074371975282,0.07188616936230503
wd45,5.0,230.78895609704557,19.176848057903335,230.78895609704557,6.485223014759077
wd45,7.222222222222222,240.89106887460684,24.543725327490904,240.89106887460684,8.269437312119614
wd45,10.4,251.8235463382953,32.344972829422446,251.8235463382953,10.923501631400566
wd45,11.666666666666668,255.4528411444631,35.486558871826034,255.4528411444631,11.978243784415392
wd45,13.88888888888889,260.6846913107365,41.030973302563524,260.6846913107365,13.740215961017158
wd45,16.11111111111111,264.0183099483818,46.59846723385607,264.0183099483818,15.30654404500641
wd45,18.333333333333336,266.2470404149393,52.15990583043537,266.2470404149393,16.75884691951541
wd45,20.555555555555557,267.1853627043507,57.683848018821536,267.1853627043507,18.081073917300092
wd45,22.77777777777778,266.64829424479706,63.14062231507148,266.64829424479706,19.250244715604406
wd45,25.0,264.9232990149909,68.50304700006605,264.9232990149909,20.3021262704532
wd90,5.0,225.7518960374465,20.589971402576992,225.7518960374465,10.483641859031577
wd90,7.222222222222222,233.09028274532375,26.222270880539764,233.09028274532375,13.561212444219718
wd90,10.4,240.08927348650514,34.41338740007981,240.08927348650514,17.99951340313052
wd90,11.666666666666668,241.8054264024878,37.695816789205594,241.8054264024878,19.600980902842636
wd90,13.88888888888889,243.8824470287742,43.447056376109565,243.8824470287742,22.19557657949666
wd90,16.11111111111111,244.67572346206492,49.16337457442401,244.67572346206492,24.5167694661315
wd90,18.333333333333336,244.23413254595636,54.820172672653825,244.23413254595636,26.590581150251992
wd90,20.555555555555557,242.79824272341193,60.395769308850404,242.79824272341193,28.477601656385744
wd90,22.77777777777778,240.3936261589473,65.8698892812554,240.3936261589473,30.188590668596454
wd90,25.0,237.04284111638074,71.22356016638786,237.04284111638074,31.730969655733638
