filekey,shot_spin,carry_m,max_height_m,landing_x_m,landing_y_m
wd0,2000.0,255.88517489255815,27.17606998453884,255.88517489255815,0.03172047516337643
wd0,2545.0,263.748856508132,30.573626062536988,263.748856508132,0.03689513281925423
wd0,3777.777777777778,272.22251182900146,36.97273520326781,272.22251182900146,0.04641916149433123
wd0,4666.666666666667,274.01353122532953,40.669377722378314,274.01353122532953,0.051795937109257235
wd0,5555.555555555556,273.4481237458013,43.742099732527244,273.4481237458013,0.056111557173055215
wd0,6444.444444444444,271.4950176620684,46.29452734052171,271.4950176620684,0.05964027973447158
wd0,7333.333333333334,268.513016567926,48.41198167230247,268.513016567926,0.06252176284543413
wd0,8222.222222222223,264.8138548268521,50.164875421452486,264.8138548268521,0.06488770706066962
wd0,9111.111111111111,260.92457317402466,51.61102261874819,260.92457317402466,0.06695137933753266
wd0,10000.0,256.8501495984083,52.798456439329144,256.8501495984083,0.06874444834874172
wd45,2000.0,245.25019940466643,28.710310898211894,245.25019940466643,9.412658113776834
wd45,2545.0,251.8235463382953,32.344972829422446,251.8235463382953,10.923501631400566
wd45,3777.777777777778,259.0974677524473,39.13452418774206,259.0974677524473,13.707720976814095
wd45,4666.666666666667,259.6426507400591,43.03365095206163,259.6426507400591,15.190417178463887
wd45,5555.555555555556,258.468232019731,46.264634959888646,258.468232019731,16.42376998698633
wd45,6444.444444444444,255.5599505280436,48.94154308318427,255.5599505280436,17.386884511905404
wd45,7333.333333333334,252.21181904824545,51.15659707033012,252.21181904824545,18.23327378025404
wd45,8222.222222222223,248.02648480902724,52.98549933099835,248.02648480902724,18.905862759633877
wd45,9111.111111111111,243.72023999177787,54.490406803701795,243.72023999177787,19.49923232443384
wd45,10000.0,239.07769238198506,55.72216792659425,239.07769238198506,19.98265737118112
wd90,2000.0,235.12733135739268,30.321042973601223,235.12733135739268,15.362528992433688
wd90,2545.0,240.08927348650514,34.41338740007981,240.08927348650514,17.99951340313052
wd90,3777.777777777778,243.05691243147214,42.11313731338727,243.05691243147214,22.495902357135876
wd90,4666.666666666667,241.37211798710632,46.5359234309357,241.37211798710632,24.87269635570915
wd90,5555.555555555556,238.0889681406365,50.187748763675465,238.0889681406365,26.786897128370715
wd90,6444.444444444444,233.60623565227317,53.19822116338563,233.60623565227317,28.295399570767877
wd90,7333.333333333334,228.60237391556217,55.67542835733165,228.60237391556217,29.538830488446315
wd90,8222.222222222223,223.12105555933047,57.70831466386166,223.12105555933047,30.520302412340232
wd90,9111.111111111111,217.72985146757856,59.36976605907505,217.72985146757856,31.383622242412684
wd90,10000.0,212.41558316143443,60.719935977128,212.41558316143443,32.131559061871656
