filekey,U_ref,carry_m,max_height_m,landing_x_m,landing_y_m
wd0,2.0,248.5105015940381,32.93188272157898,248.5105015940381,0.014170663153602289
wd0,2.888888888888889,252.17572504805568,32.39688832551301,252.17572504805568,0.019845261096979903
wd0,3.7777777777777777,255.6802620164445,31.868056798408436,255.6802620164445,0.02515301650839874
wd0,4.666666666666666,259.0256704764561,31.345589363951852,259.0256704764561,0.030105760426387337
wd0,6.0,263.748856508132,30.573626062536988,263.748856508132,0.03689513281925423
wd0,6.444444444444445,265.24541193369646,30.31949842354671,265.24541193369646,0.03899380777120457
wd0,7.333333333333333,267.8266602267199,29.815946166332807,267.8266602267199,0.042878927211104055
wd0,8.222222222222221,270.54252250783685,29.318922455241708,270.54252250783685,0.04652415413232456
wd0,9.11111111111111,273.1072529881905,28.8282545124992,273.1072529881905,0.04987409934809066
wd0,10.0,275.5224377579164,28.344177239533504,275.5224377579164,0.052940362927964425
wd45,2.0,243.92646575074696,33.52160707628866,243.92646575074696,3.9142646334129254
wd45,2.888888888888889,245.95644420751978,33.24926866840498,245.95644420751978,5.569535247587846
wd45,3.7777777777777777,247.66594855932453,32.9833163434695,247.66594855932453,7.160025308634998
wd45,4.666666666666666,249.53697880027732,32.723501718847174,249.53697880027732,8.714115777362084
wd45,6.0,251.8235463382953,32.344972829422446,251.8235463382953,10.923501631400566
wd45,6.444444444444445,252.8027976310613,32.22171009782278,252.8027976310613,11.659510574082987
wd45,7.333333333333333,254.19170108123802,31.979447164511598,254.19170108123802,13.047320422846125
wd45,8.222222222222221,255.7704026922942,31.742741183217447,255.7704026922942,14.418195213210103
wd45,9.11111111111111,257.2833521893239,31.51144128701329,257.2833521893239,15.748554649811075
wd45,10.0,258.7322217705039,31.285399251457676,258.7322217705039,17.039652495133062
wd90,2.0,239.74329177294786,34.213949676333286,239.74329177294786,5.941727987712021
wd90,2.888888888888889,239.89774524840124,34.24811046308246,239.89774524840124,8.600146140986665
wd90,3.7777777777777777,239.80188950318777,34.2879734453546,239.80188950318777,11.248594356531196
wd90,4.666666666666666,239.89561360028804,34.33375095695925,239.89561360028804,13.929292846350798
wd90,6.0,240.08927348650514,34.41338740007981,240.08927348650514,17.99951340313052
wd90,6.444444444444445,239.99282920496876,34.44291983301217,239.99282920496876,19.340783601290127
wd90,7.333333333333333,239.9966467932261,34.50643092920974,239.9966467932261,22.07468461251034
wd90,8.222222222222221,240.1890562873901,34.57594526419496,240.1890562873901,24.879857085684883
wd90,9.11111111111111,240.13363733548695,34.65160787626698,240.13363733548695,27.662040620804223
wd90,10.0,240.04960587005775,34.73344314656162,240.04960587005775,30.46780760609162
